
from	to	edge_flow
GSM1278015_16cell_split2a	t	0.8623712673109662
GSM1278030_8cell_2pooled_split9a	GSM1278015_16cell_split2a	0.21526515913700528
GSM1278020_8cell_12-4_smartseq2	GSM1278015_16cell_split2a	0.2451559934318555
GSM1278012_16cell_2pooled_split8b	GSM1278015_16cell_split2a	0.4
GSM1278026_8cell_2pooled_split5a	GSM1278015_16cell_split2a	0.001950114742105602
GSM1278012_16cell_2pooled_split8b	GSM1278030_8cell_2pooled_split9a	0.21526515913700528
GSM1278010_16cell_2pooled_split6b	GSM1278012_16cell_2pooled_split8b	0.08076109936575097
GSM1278014_16cell_split1b	GSM1278012_16cell_2pooled_split8b	0.16358517941645107
GSM1278009_16cell_2pooled_split6a	GSM1278012_16cell_2pooled_split8b	0.185185185185185
GSM1278011_16cell_2pooled_split8a	GSM1278012_16cell_2pooled_split8b	0.1331850203930294
GSM1278013_16cell_split1a	GSM1278012_16cell_2pooled_split8b	0.0422448541747766
GSM1112538_16cell_6-8	GSM1278010_16cell_2pooled_split6b	0.02015503875968999
GSM1112530_16cell_6-11	GSM1278010_16cell_2pooled_split6b	0.06060606060606098
GSM1112519_16cell_5-13	GSM1112538_16cell_6-8	0.18596491228070178
GSM1112538_16cell_6-8	GSM1278011_16cell_2pooled_split8a	0.135135135135135
GSM1112529_16cell_6-10	GSM1112538_16cell_6-8	0.013325652841782012
GSM1112538_16cell_6-8	GSM1278014_16cell_split1b	0.06236159765894279
GSM1112539_16cell_6-9	GSM1112538_16cell_6-8	0.0606060606060606
GSM1112538_16cell_6-8	GSM1278013_16cell_split1a	0.0422448541747766
GSM1112576_8cell_8-2	GSM1112519_16cell_5-13	0.1333333333333334
GSM1112579_8cell_8-6	GSM1112519_16cell_5-13	0.0526315789473684
GSM1112575_8cell_8-1	GSM1112576_8cell_8-2	0.0666666666666667
GSM1112578_8cell_8-4	GSM1112576_8cell_8-2	0.0666666666666667
GSM1112577_8cell_8-3	GSM1112575_8cell_8-1	0.0666666666666667
GSM1112676_lateblast_1-27	GSM1112577_8cell_8-3	0.03600500851165608
GSM1112622_earlyblast_2-5	GSM1112577_8cell_8-3	0.0465116279069767
